sku;productName;picture;pictureBig;brand;price;crossedOverPrice;discountRate;ratingCount;ratingScore;productUrl;Yaş Seçimi;Kategori;Fiyat Aralığı;ShipmentDay
GYNGS300075-N36;Ng Style Narçiçeği Etek;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_11782650.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_11782650.jpg;NG Style;199,0;199,0;0;0;0;http://www.hepsiburada.com/ng-style-narcicegi-etek-p-GYNGS300075-N36;25-35 Yaş;Giyim, Aksesuar;150TL - 250TL;0
GYNGS500107-S36;Ng Style Siyah Bluz;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_11782903.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_11782903.jpg;NG Style;229,0;229,0;0;0;0;http://www.hepsiburada.com/ng-style-siyah-bluz-p-GYNGS500107-S36;36-45 Yaş;Giyim, Aksesuar;150TL - 250TL;0
GYNGS500123-T36;Ng Style Turuncu Bluz;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12422918.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12422918.jpg;NG Style;119,0;179,0;34;0;0;http://www.hepsiburada.com/ng-style-turuncu-bluz-p-GYNGS500123-T36;25-35 Yaş;Giyim, Aksesuar;100TL - 150TL;0
BD602092-S;Samsung Galaxy TabPro S W700 Intel Core M-6Y30 4GB 128GB SSD 12"FHD Ikısi Bir Arada Bilgisayar;http://images.hepsiburada.net/assets/Bilgisayar/200/Bilgisayar_11790275.jpg;http://images.hepsiburada.net/assets/Bilgisayar/500/Bilgisayar_11790275.jpg;Samsung;2949,00;3972,00;26;0;0;http://www.hepsiburada.com/samsung-galaxy-tabpro-s-w700-intel-core-m-6y30-4gb-128gb-ssd-12-fhd-ikisi-bir-arada-bilgisayar-p-BD602092-S;36-45 Yaş;Bilgisayar;250TL üzerinde;0
MBK105PRL6002;Evdebiz Point Retro Life Yeşil Köşe Kanepe+Kilim Sağ;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_11790396.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_11790396.jpg;Evdebiz;1619,90;2589,90;37;0;0;http://www.hepsiburada.com/evdebiz-point-retro-life-yesil-kose-kanepe-kilim-sag-p-MBK105PRL6002;36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;250TL üzerinde;3
DKBIN2812;Anneye Özel Mesaj Yazılabilen Duvar Saati;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_11791316.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_11791316.jpg;1001 Hediye;44,90;62,91;29;1;5;http://www.hepsiburada.com/anneye-ozel-mesaj-yazilabilen-duvar-saati-p-DKBIN2812;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;0TL - 50TL;3
DKBIN2850;Efsanevi Anne Sözleri Saat;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_11791320.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_11791320.jpg;1001 Hediye;44,90;62,91;29;0;0;http://www.hepsiburada.com/efsanevi-anne-sozleri-saat-p-DKBIN2850;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;0TL - 50TL;3
DKBIN2930;Annelere Özel Akrilik Ödül;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_11791362.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_11791362.jpg;1001 Hediye;29,90;42,90;30;0;0;http://www.hepsiburada.com/annelere-ozel-akrilik-odul-p-DKBIN2930;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;0TL - 50TL;3
DKBIN2949;Vazgeçilmezim Annem Seni Seviyorum Oscar;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_11791394.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_11791394.jpg;1001 Hediye;24,90;34,90;29;0;0;http://www.hepsiburada.com/vazgecilmezim-annem-seni-seviyorum-oscar-p-DKBIN2949;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;0TL - 50TL;3
GYOZGEW65037-03;Versace Eşarp;http://images.hepsiburada.net/assets/Hediyelik/200/Hediyelik_12014097.jpg;http://images.hepsiburada.net/assets/Hediyelik/500/Hediyelik_12014097.jpg;Versace 19.69;29,99;89,99;67;0;0;http://www.hepsiburada.com/versace-esarp-p-GYOZGEW65037-03;46 Yaş ve Üzeri;Giyim, Aksesuar;0TL - 50TL;0
